Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667c9540c0542aee42f6bd81,60306cf6330619ee41fa3cd2,AWAITING REVIEW,Not Applicable,2024-06-26T22:25:09.407000Z,2024-06-26T22:32:52.903000Z,,2024-06-26T22:34:19.635650Z,464.0,C1DPSPJ5,4056,English,Republican,32,Male,White,United States,United States,United States,English,No,Full-Time
667c9548f4d0d77719af2f6a,5ff76d52a4cb3f434e49eabe,AWAITING REVIEW,Not Applicable,2024-06-26T22:25:18.969000Z,2024-06-26T22:34:40.733000Z,,2024-06-26T22:34:41.474443Z,562.0,C1DPSPJ5,610,English,Independent,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
667c954f64f5d372ac2f144a,5c0727ff1d461400012b61ee,APPROVED,Not Applicable,2024-06-26T22:30:48.299000Z,2024-06-26T22:48:36.659000Z,2024-06-28T12:22:44.008000Z,2024-06-26T22:48:38.209632Z,1069.0,C1DPSPJ5,5267,English,Independent,55,Female,White,United States,United States,United States,English,No,Full-Time
667c9557fababfcc7210d7f0,55c694e3fdf99b6c4f28595f,APPROVED,Not Applicable,2024-06-26T22:25:33.225000Z,2024-06-26T22:31:26.664000Z,2024-06-28T12:27:41.809000Z,2024-06-26T22:33:58.026725Z,354.0,C1DPSPJ5,2672,English,Democrat,37,Male,White,United States,United States,United States,English,No,Full-Time
667c95584131a12a9dd005ad,5ba5d8b960f3d50001697104,APPROVED,Not Applicable,2024-06-26T22:26:10.312000Z,2024-06-26T22:59:48.613000Z,2024-06-28T12:22:44.344000Z,2024-06-27T00:01:47.938648Z,2019.0,C1DPSPJ5,4673,English,Independent,64,Female,White,United States,United States,United States,English,No,Full-Time
667c95585625e71fc31454c7,664c4e829445321c23a8de52,APPROVED,Not Applicable,2024-06-26T22:25:38.044000Z,2024-06-26T22:36:58.603000Z,2024-06-28T12:27:17.403000Z,2024-06-26T22:38:02.870988Z,681.0,C1DPSPJ5,207,English,Independent,45,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
667c955a8b94595dc25229e1,667950dc58ebec9b917d588b,APPROVED,Not Applicable,2024-06-26T22:25:40.329000Z,2024-06-26T22:38:34.285000Z,2024-06-28T12:27:17.717000Z,2024-06-26T22:38:34.950808Z,774.0,C1DPSPJ5,3,"English, French",Independent,50,Male,White,France,United States,United States,English,No,Full-Time
667c955dd24ccff6cb71a07f,5db4a409d27e05000f0eaa00,AWAITING REVIEW,Not Applicable,2024-06-26T22:25:40.405000Z,2024-06-26T22:29:59.193000Z,,2024-06-26T22:30:00.466539Z,259.0,C1DPSPJ5,8205,English,Independent,33,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c956a128285e31f8927fc,5ee92b925f0f482bb1e73668,AWAITING REVIEW,Not Applicable,2024-06-26T22:25:52.192000Z,2024-06-26T22:30:48.290000Z,,2024-06-26T22:30:49.386061Z,297.0,C1DPSPJ5,5276,"English, Spanish",Democrat,45,Male,White,United States,United States,United States,English,No,Full-Time
667c956bd0a64f54dca70b2e,5e17dbfb555d170ea41059b7,APPROVED,Not Applicable,2024-06-26T22:28:08.599000Z,2024-06-26T22:48:54.378000Z,2024-06-28T12:26:48.662000Z,2024-06-26T22:48:55.303998Z,1246.0,C1DPSPJ5,593,English,Independent,43,Female,White,United States,United States,United States,English,No,Part-Time
